A2M Iceland EN Iceland EURO
A2N SaudiArabiaAR,EN English/Arabic NA,UK
A2N SaudiArabia EN,AR English/Arabic NA,UK
A2Q Ukraine RU Russian EURO
AB6 NWAfrica FR,AR,EN French/Arabic EURO
AB7 Greece GK,EN Greek EURO
AB8 Turkey TR,EN Turkish EURO
AB9 Portugal PT,EN Portuguese EURO
ABB Euro EN International EURO
ABB Euro EN International EURO
ABD Germany GR,EN German EURO
ABE Spain SP,EN Spanish EURO
ABF France FR,EN French EURO
ABH Netherlands NL,EN International EURO
ABN Norway NO,EN Norwegian EURO
ABT Israel (Hebrew) IL,EN Hebrew HE
ABU United Kingdom EN UK-English UK
ABV ArabiaAR,EN English/Arabic EURO,UK,NA
ABV Arabia EN,AR English/Arabic EURO,UK,NA
ABY Denmark DK,EN Danish DEN
ABZ Italy IT,EN Italian ITL
ACB Russia RU Russian EURO
ACB Russia RU Russian EURO
ACQ SouthAfrica EN International SA
AK8 Sweden/Finland SE,FI,EN Swedish/Finish EURO
AK9 Euro-A2 EN International EURO
AKC Hungary HU,EN Hungarian EURO
AKD Poland PL,EN International EURO
AKE Romania RO,EN Romanian EURO
AKQ Serbia EN,SR BHCSY (Bosnia,Croatia,Slovenia,Yugoslavia EURO
AKS Bulgaria BG,EN Bulgarian EURO
B10 Euro-A5 PT,EN Portuguese EURO
B1R Baltics EN,LV,LT,EI International EURO
BCM Czech/Slovakia CS,SK,EN Czech/Slovak EURO
BED Adriatic Region SL,EN,HR,SR Adriatic EURO 
BED Adriatic Region EN,SL,HR,SR Adriatic EURO
BH4 Africa-French FR,AR,EN French EURO
BH5 Africa-English EN,FR,AR International EURO,UK 
UUG Belgium NL,FR,GR,EN Belgian EURO
UUW Nordic EN,DK,SE, FI,NO PAN Nordic EURO,
DEN UUZ Switzerland GR,FR,IT,E N Swiss SWISS
